Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
2016-03-08;708.39;722.25;704.0;713.53;2521688.0;0.0;1.0;708.39;722.25;704.0;713.53;2521688.0
2016-03-09;715.165;726.24;712.66;725.41;1977169.0;0.0;1.0;715.165;726.24;712.66;725.41;1977169.0
2016-03-10;727.79;736.54;723.29;732.17;2230811.0;0.0;1.0;727.79;736.54;723.29;732.17;2230811.0
2016-03-11;739.95;744.9;736.7;744.87;1768995.0;0.0;1.0;739.95;744.9;736.7;744.87;1768995.0
2016-03-14;744.97;754.26;743.6625;750.24;1641189.0;0.0;1.0;744.97;754.26;743.6625;750.24;1641189.0
2016-03-15;746.02;753.01;742.84;750.57;1491578.0;0.0;1.0;746.02;753.01;742.84;750.57;1491578.0
2016-03-16;749.05;759.0;746.5;757.36;1465285.0;0.0;1.0;749.05;759.0;746.5;757.36;1465285.0
2016-03-17;757.65;765.34;757.36;758.48;2228244.0;0.0;1.0;757.65;765.34;757.36;758.48;2228244.0
2016-03-18;761.63;762.14;751.82;755.41;2811518.0;0.0;1.0;761.63;762.14;751.82;755.41;2811518.0
2016-03-21;753.91;763.34;751.27;762.16;1438658.0;0.0;1.0;753.91;763.34;751.27;762.16;1438658.0
